domain,dataset,sample_index,sample_id,image_path,relative_path,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct,shared8_ground_truth,high_confidence_ge_90,very_high_confidence_ge_95,low_confidence_lt_70,cam_primary_target_index,cam_primary_target_name,generate_true_class_comparison_cam
internal,PlantVillage,0,PV_TEST_00000,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999991793050819,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,1,PV_TEST_00001,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999993374059535,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,2,PV_TEST_00002,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999992118797746,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,3,PV_TEST_00003,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\03e6cea1-1c09-420a-a22e-2c29844004d1___GCREC_Bact.Sp 3076.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\03e6cea1-1c09-420a-a22e-2c29844004d1___GCREC_Bact.Sp 3076.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999994276887327,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,4,PV_TEST_00004,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999991773664871,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,5,PV_TEST_00005,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0493c0e5-27e3-41d6-81f0-7830cef39080___UF.GRC_BS_Lab Leaf 8615.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0493c0e5-27e3-41d6-81f0-7830cef39080___UF.GRC_BS_Lab Leaf 8615.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999990855994728,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,6,PV_TEST_00006,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\04fcd6e4-a96e-49ba-b67a-32b88337b505___GCREC_Bact.Sp 3689.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\04fcd6e4-a96e-49ba-b67a-32b88337b505___GCREC_Bact.Sp 3689.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999993704172703,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,7,PV_TEST_00007,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.999999212102122,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,8,PV_TEST_00008,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\07238109-52ed-4369-b16c-6f5844858b81___UF.GRC_BS_Lab Leaf 0447.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\07238109-52ed-4369-b16c-6f5844858b81___UF.GRC_BS_Lab Leaf 0447.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999979242473142,True,True,True,True,False,0,Tomato_Bacterial_spot,False
internal,PlantVillage,9,PV_TEST_00009,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\076ef17d-dfd3-4dbc-a351-a14eff1aecdb___UF.GRC_BS_Lab Leaf 8980.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\076ef17d-dfd3-4dbc-a351-a14eff1aecdb___UF.GRC_BS_Lab Leaf 8980.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999989234664447,True,True,True,True,False,0,Tomato_Bacterial_spot,False
