class,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,image_count,display_name
Tomato_Bacterial_spot,101.96613020150383,11.549290948036221,108.6682536237723,11.353059691862265,93.26107845476776,9.203430098487514,2127,Bacterial Spot
Tomato_Early_blight,109.33391004943847,16.270783182856484,113.0351466217041,13.691387630053459,101.25837155151368,14.478461681640292,1000,Early Blight
Tomato_Late_blight,114.25918682646213,29.870042989669074,115.34963161703287,28.137900479786328,103.0089242886017,28.01309715245942,1901,Late Blight
Tomato_Leaf_Mold,112.0872666495187,17.355863118518513,117.22791000173873,12.19535441266229,114.71851544420258,11.368126724466606,952,Leaf Mold
Tomato_Septoria_leaf_spot,131.0322528755106,16.768715322301855,133.07035326190348,17.21198292056986,119.31673522294409,16.609828445815126,1771,Septoria Leaf Spot
Tomato_Spider_mites_Two_spotted_spider_mite,122.91638589645058,9.427346713653423,119.65102958223984,10.5320320521107,107.6606121017711,12.273988650075328,1676,Spider Mites
Tomato__Target_Spot,118.915709438487,9.534475927630464,120.03632148242744,9.461607395257992,111.6710773261524,9.679946217884742,1404,Target Spot
Tomato__Tomato_YellowLeaf__Curl_Virus,112.4341566556707,14.564953435113502,120.17192771131559,15.935589431077828,89.99908044867385,13.235801648868758,3208,Yellow Leaf Curl Virus
Tomato__Tomato_mosaic_virus,118.70912174500984,13.764188463397419,116.63602506826774,12.23881732249143,117.40076657210854,11.077133388655719,373,Mosaic Virus
Tomato_healthy,113.95047324388185,8.702104485881007,118.63990380320263,7.592686160766606,109.96634261555477,8.778586397695724,1585,Healthy
