image_id,relative_path,class,md5_hash,phash
PV_0b678ddfa4346976,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110.JPG,Tomato_Bacterial_spot,0b678ddfa434697635b1e010eb11c6bd,b9b1d39fc90c8568
PV_3ae8371bdbb0a5a3,Tomato_Bacterial_spot/0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,Tomato_Bacterial_spot,3ae8371bdbb0a5a3c5ff61be751f492d,af96d949c4c4c36a
PV_b7c7c06effb01d46,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054.JPG,Tomato_Bacterial_spot,b7c7c06effb01d464595c4ad6d7fd8fc,b213e76ccd839265
PV_fece7d5045694f99,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326.JPG,Tomato_Bacterial_spot,fece7d5045694f992f4b6e8a988fe0b1,f6a9a417c2598b66
PV_0df8539bb1269403,Tomato_Bacterial_spot/00a7c269-3476-4d25-b744-44d6353cd921___GCREC_Bact.Sp 5807.JPG,Tomato_Bacterial_spot,0df8539bb1269403780558679723bbe8,feb08017c2ca8fcd
PV_f6f2f58bcf9b3fcf,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.JPG,Tomato_Bacterial_spot,f6f2f58bcf9b3fcfb7a3830be636d1b2,bdd2c30fd06c916a
PV_19c230700d039acb,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914.JPG,Tomato_Bacterial_spot,19c230700d039acb8cff0132e938fd96,eb61c40f9478d635
PV_a299f0f10624991f,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,Tomato_Bacterial_spot,a299f0f10624991fcb777ca54d00642e,ab6dc0d297959e90
PV_d240b3047e39f84e,Tomato_Bacterial_spot/01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.JPG,Tomato_Bacterial_spot,d240b3047e39f84e394168f0e2514fb7,fa25d40ec25e8f70
PV_eac825979ec02f27,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638.JPG,Tomato_Bacterial_spot,eac825979ec02f279b2eff0e738e5251,f8e28717c03c8f78
PV_eeadaf63631f7bd0,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984.JPG,Tomato_Bacterial_spot,eeadaf63631f7bd0e3f5a2dd31bb389d,eb35c44a97619aa5
PV_cc894b654ce912ab,Tomato_Bacterial_spot/01d9fc8d-5083-468d-a583-885f33517cdd___GCREC_Bact.Sp 3422.JPG,Tomato_Bacterial_spot,cc894b654ce912abe041e1418432198e,bab083cbc94cf51c
PV_908aeed5e73e6c99,Tomato_Bacterial_spot/01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029.JPG,Tomato_Bacterial_spot,908aeed5e73e6c99ffadf9dbcd6904ca,fee1a01f953c9858
PV_514fcadb4166d8a0,Tomato_Bacterial_spot/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.JPG,Tomato_Bacterial_spot,514fcadb4166d8a04651eb3b0ced15c0,b8b093cbc9cd944e
PV_112e8c855bd60e99,Tomato_Bacterial_spot/022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682.JPG,Tomato_Bacterial_spot,112e8c855bd60e993da0c0fe35d85521,c8a9f3742cc761cc
PV_df75fcc4cbaf5688,Tomato_Bacterial_spot/02626a44-a613-4402-a6b0-243858736e32___GCREC_Bact.Sp 3191.JPG,Tomato_Bacterial_spot,df75fcc4cbaf5688aa24d8fad0e43367,a393d96fc0b4ca49
