external_sample_id,relative_path,external_class_name,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,true_class_probability,second_best_probability,prediction_margin,entropy_nats,normalized_entropy,true_class_rank,predicted_absent_gt_class,error_pair,high_confidence,very_high_confidence,low_confidence,high_confidence_error,very_high_confidence_error,confidence_band
PD_EXT_0001,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_1.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9995758244866828,9.92720432414953e-07,0.0004176196363211976,0.9991582048503617,0.003764069500846551,0.0016347146137179844,5,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0002,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_2.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,False,0.9997852848929736,0.00018838232761360005,0.00018838232761360005,0.9995969025653599,0.00215173990903776,0.0009344887689861042,2,False,Tomato_Bacterial_spot -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0003,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_3.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.7139220111506402,0.06534288708074588,0.21658049140903607,0.4973415197416042,0.7799618827011495,0.33873314175198055,3,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,False,False,False,False,False,70%-<90%
PD_EXT_0004,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_4.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.5455209510540572,1.2185317926868033e-05,0.45363309128705226,0.09188785976700492,0.6957326401120124,0.30215284648062796,7,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,False,False,True,False,False,50%-<70%
PD_EXT_0005,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_5.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,1,Tomato_Early_blight,False,0.9999846227075826,1.3329342448938162e-06,6.346151324678717e-06,0.9999782765562579,0.00021021026795310578,9.129315941143781e-05,4,False,Tomato_Bacterial_spot -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0006,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_6.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,False,0.6728060318668333,0.005684998451872889,0.3190453369856515,0.3537606948811818,0.6768379583227533,0.2939469904422349,3,False,Tomato_Bacterial_spot -> Tomato_Late_blight,False,False,True,False,False,50%-<70%
PD_EXT_0007,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_7.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9999618942352626,4.6360795159327716e-07,2.5942513434950697e-05,0.9999359517218277,0.0004733404769259147,0.00020556915719037824,10,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0008,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_8.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.999909456834755,1.315292552900474e-06,8.536681457086449e-05,0.9998240900201841,0.0009629358149911524,0.00041819771087766807,4,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0009,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_9.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9954869947244986,0.003259534119431496,0.003259534119431496,0.9922274606050672,0.032648996921982976,0.014179279202893458,2,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0010,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_1.jpg,Tomato_Early_blight_leaf,1,Tomato_Early_blight,1,Tomato_Early_blight,True,0.9999989443448523,0.9999989443448523,2.821161379816664e-07,0.9999986622287143,1.7737146473317893e-05,7.703144838071684e-06,1,False,CORRECT,True,True,False,False,False,>=95%
